Ticket ID,Status,Priority,Source,Topic,Product Group,Support Level,Agent Group,Agent Name,Country,Latitude,Longitude,Created Time,Expected First Response By,First Response Time,First Response SLA Status,Expected Resolution By,Resolution Time,Resolution SLA Status,Close Time,First Response Time (Minutes),First Response SLA Buffer (Minutes),Resolution Time (Hours),Resolution SLA Buffer (Hours),Response to Resolution (Hours),Resolution to Close (Hours),Total Lifecycle (Hours),Created Day of Week,Created Hour,Is Weekend,Agent Interactions,Survey Result,Response Check,Resolution check,Close time check
1012,Closed,Low,Email,Feature request,Custom software development,Tier 1,1st line support,Kristos Westoll,Republic of Ireland,53.094024,-8.019675,1/2/2023 0:58:36,1/2/2023 1:58:36,1/2/2023 1:03:17,Within SLA,1/4/2023 0:58:36,1/4/2023 0:31:52,Within SLA,1/4/2023 4:02:59,4.69,55.31,47.55,0.45,47.48,3.52,51.07,Monday,0,No,1,3,Good,Good,Good
1013,In progress,High,Phone,Product setup,Other,Tier 2,2nd line support,Adolpho Messingham,Italy,43.036776,12.678565,1/2/2023 7:27:25,1/2/2023 7:29:25,1/2/2023 7:27:43,Within SLA,1/4/2023 7:27:25,,SLA Violated,,0.3,1.7,,,,,,Monday,7,No,3,,Good,N/A,N/A
1014,Resolved,Low,Chat,Purchasing and invoicing,Custom software development,Tier 1,1st line support,Bernard Beckley,Austria,47.6964719,13.3457347,1/2/2023 6:59:04,1/2/2023 7:01:04,1/2/2023 6:59:57,Within SLA,1/3/2023 6:59:04,1/2/2023 22:45:33,Within SLA,,0.89,1.11,15.77,8.23,15.76,,,Monday,6,No,2,,Good,Good,N/A
1015,Closed,Medium,Email,Pricing and licensing,Ready to use Software,Tier 1,1st line support,Connor Danielovitch,Spain,39.67337,-4.767726,1/3/2023 3:09:39,1/3/2023 4:09:39,1/3/2023 7:09:16,SLA Violated,1/5/2023 3:09:39,1/4/2023 14:32:35,Within SLA,1/8/2023 4:24:55,239.61,-179.61,35.38,12.62,31.39,85.87,121.25,Tuesday,3,No,10,4,Good,Good,Good
1016,Closed,Low,Email,Product setup,Other,Tier 1,1st line support,Kristos Westoll,Austria,47.6964719,13.3457347,1/3/2023 0:03:58,1/3/2023 1:03:58,1/3/2023 0:08:02,Within SLA,1/5/2023 0:03:58,1/4/2023 12:03:06,Within SLA,1/6/2023 6:05:09,4.06,55.94,35.99,12.01,35.92,42.03,78.02,Tuesday,0,No,1,2,Good,Good,Good
1017,Closed,Low,Email,Purchasing and invoicing,Ready to use Software,Tier 1,1st line support,Sheela Cutten,Greece,39.368279,21.863141,1/3/2023 14:25:42,1/3/2023 15:25:42,1/3/2023 14:45:14,Within SLA,1/5/2023 14:25:42,1/4/2023 1:55:57,Within SLA,1/10/2023 16:41:08,19.54,40.46,11.5,36.5,11.18,158.75,170.26,Tuesday,14,No,2,2,Good,Good,Good
1018,Closed,Low,Phone,Product setup,Ready to use Software,Tier 1,1st line support,Kristos Westoll,Republic of Ireland,53.094024,-8.019675,1/3/2023 15:32:02,1/3/2023 15:34:02,1/3/2023 15:34:00,Within SLA,1/5/2023 15:32:02,1/5/2023 3:51:37,Within SLA,1/7/2023 21:52:35,1.97,0.03,36.33,11.67,36.29,66.02,102.34,Tuesday,15,No,2,3,Good,Good,Good
1019,Resolved,Medium,Chat,Pricing and licensing,Training and Consulting Services,Tier 2,2nd line support,Michele Whyatt,Poland,52.536273,19.050639,1/3/2023 0:38:48,1/3/2023 0:40:48,1/3/2023 0:39:30,Within SLA,1/4/2023 0:38:48,1/5/2023 12:47:56,SLA Violated,,0.7,1.3,60.15,-36.15,60.14,,,Tuesday,0,No,2,,Good,Good,N/A
1020,Resolved,Medium,Chat,Product setup,Other,Tier 1,1st line support,Kristos Westoll,Germany,51.165691,10.451526,1/3/2023 9:37:54,1/3/2023 9:39:54,1/3/2023 9:41:55,SLA Violated,1/4/2023 9:37:54,1/3/2023 20:31:38,Within SLA,,4.02,-2.02,10.9,13.1,10.83,,,Tuesday,9,No,6,,Good,Good,N/A
1021,Closed,Low,Email,Product setup,Training and Consulting Services,Tier 1,1st line support,Bernard Beckley,Czech Republic,49.8037633,15.4749126,1/3/2023 9:27:35,1/3/2023 10:27:35,1/3/2023 10:24:48,Within SLA,1/5/2023 9:27:35,1/4/2023 10:16:32,Within SLA,1/7/2023 20:25:29,57.22,2.78,24.82,23.18,23.86,82.15,106.97,Tuesday,9,No,1,4,Good,Good,Good
